アトピー性皮膚炎,Atopic Dermatitis
臭汗症/わきが,Osmidrosis / Hircismus
しもやけ,Chilblains / Frostbite
水疱,Blister
かゆい,Itchy
中耳炎,Otitis Media
外耳炎,Otitis Externa
耳鳴り,Tinnitus / Ringing in the Ears
耳垢,Earwax
難聴,Hearing Difficulty / Deafness
慢性鼻炎,Chronic Rhinitis
鼻血,Nosebleed
鼻水,Runny Nose
鼻づまり,Stuffy Nose
花粉症,Hay Fever / Pollen Allergy
扁桃腺炎,Tonsillitis
口内炎,Oral Ulcer
のどの痛み,Sore Throat
しわがれ声・かれた声,Hoarseness
のどがつかえる,Difficulty in Swallowing
乗り物酔い,Motion Sickness
うがいをする,Gargle
内耳,Internal Ear
中耳,Middle Ear
外耳,External Ear
鼓膜,Eardrum
三半規管,Semicircular Canal
咽頭,Pharynx
扁桃腺,Tonsil
声帯,Vocal Cord
緑内障,Glaucoma
白内障,Cataract
結膜炎,Conjunctivitis
角膜炎,Keratitis / Corneal Inflammation
ものもらい,Sty(e)
眼精疲労,Eyestrain
近視,Near-sightedness
遠視,Far-sightedness
乱視,Astigmatism
色覚障害/色盲,Color Blindness
目やに,Eye Mucus
目の充血,Red-Eye / Eye Congestion
ひりひりする,Irritated
目がかすむ,Blurred Vision
眼球,Eye Ball(s)
角膜,Cornea
水晶体,Crystalline Lens
瞳孔,Pupil(s)
網膜,Retina
虫歯,Cavity
歯槽膿漏,Pyorrhea
歯周病,Gum Disease
歯肉炎,Gingivitis
歯石,Calculus
歯垢,Plaque
歯痛,Toothache / Dental Pain
ぐらぐらする,Loose
詰め物,Filling
かぶせもの,Crown
セラミック,Ceramic Crown
歯根管治療,Root-Canal Treatment
差し歯,Implant
入れ歯,Denture / False Teeth
矯正,Orthodontics
フッ素塗布,Fluoride Treatment
噛み合わせ,Dental Bite
乳歯,Baby Tooth / Milk Tooth
永久歯,Adult Tooth
前歯（門歯）,Front Tooth / Incisor
糸切り歯（犬歯）,Canine Tooth
奥歯,Back Tooth / Molar
親知らず,Wisdom Tooth
歯茎,Gums
歯の根（根管）,Root Canal
神経,Nerve
緊張,Tension
幻覚,Hallucination
拒食症/食欲不振,Anorexia
過食症,Bulimia
自律神経失調症,Autonomic Imbalance
神経衰弱,Nervous Breakdown
心身症,Psychosomatic Disease
精神分析,Psychoanalysis
統合失調症,Schizophrenia
うつ病,Depression
躁うつ病,Manic Depressive Psychosis
適応障がい,Adjustment Disorder
不安症,Anxiety Disorder
不眠症,Insomnia
無気力,Lethargy
憂うつな,Depressed
